Year,Course,CourseName,ShnatonId,Semester,TestDates
2026,11160,מבוא לחדשנות ויזמות 101	,9651,SemAB,[]
2026,11160,מבוא לחדשנות ויזמות 101	,9651,SemAB,[]
2026,11161,חדשנות מכוונת עיצוב,19834,SemAB,[]
2026,11161,חדשנות מכוונת עיצוב,19834,SemAB,[]
2026,11163,מהנדסים יזמות -  היבטים מעשיים בפיתוח יזמות,19720,SemAB,[]
2026,11163,מהנדסים יזמות -  היבטים מעשיים בפיתוח יזמות,19720,SemAB,[]
2026,15005,חשיבה ביקורתית,14061,SemA,['2026-02-26T00:00:00']
2026,17004,"""פני משה"" - דמויותיו של משה בראי ספרות עם ישראל",19122,SemB,"['2026-07-14T14:00:00', '2026-08-12T14:00:00']"
2026,17172,"השירה העברית החדשה: היסטוריה, פואטיקה ותרבות",13089,SemA,[]
2026,23336,מבאך ועד הביטלס: מוסיקה בתרבות המערבית - קמפוס ספרא,472283,False,[]
2026,24305,הנצרות הקדומה והקשרה היהודי-בשורות ומעשי השליחים,469513,False,[]
2026,3007,"שימוש לטוב/שימוש לרעה בסמים, התמכרויות וטיפול",1505,SemB,"['2026-07-20T09:00:00', '2026-08-16T09:00:00']"
2026,3053,תיאוריות בהתפתחות הילד והמתבגר,527,SemA,"['2026-01-27T09:00:00', '2026-02-22T09:00:00']"
2026,31066,גרמנית: A1.1 ספרא (העשרה),18574,SemA,[]
2026,34283,חינוך וחברה,6279,SemA,[]
2026,34287,מחשבת החינוך - אבני פינה,5198,SemA,"['2026-01-25T09:00:00', '2026-02-19T09:00:00']"
2026,34304,התפתחות והתבגרות - אבני פינה,9293,SemA,[]
2026,38373,הסכסוך הישראלי-פלסטיני: נרטיבים וסוגיות יסוד א',49953,SemA,[]
2026,40352,כמה אנשים יכול כדור הארץ להכיל?,10078,SemA,[]
2026,46033,"מלחמה ושלום באסיה ובמזה""ת מימי קדם ועד ימינו",504093,False,[]
2026,50263,היסטוריה של אמצעי התקשורת: מהכתב למחשב,14978,SemA,[]
2026,50425,תולדות המחשבה החברתית,1043,SemA,[]
2026,51127,מבוא למדע הנתונים,472624,False,[]
2026,52006,הסתברות לסטטיסטיקאים למדעי המחשב,9896,SemB,"['2026-07-08T09:00:00', '2026-08-03T09:00:00']"
